wood,1.60215,0.14073,0.6471,0.96128,0.84599,0.0198
wood,1.69037,0.14548,0.64431,0.95208,0.8618,0.02116
wood,2.22704,0.10351,0.59847,0.97078,1.01358,0.01071
wood,2.95964,0.08552,0.55214,0.97545,1.19524,0.00731
wood,2.53481,0.10539,0.57659,0.96994,1.09777,0.01111
wood,2.22897,0.10946,0.58563,0.96687,1.04452,0.01198
wood,3.07397,0.08392,0.53619,0.9725,1.24608,0.00704
wood,2.22072,0.10516,0.59154,0.96948,1.02685,0.01106
wood,2.00521,0.09986,0.59897,0.97693,0.9889,0.00997
wood,2.60512,0.12034,0.59325,0.95426,1.06863,0.01448
wood,1.97818,0.10384,0.60105,0.97729,0.98134,0.01078
wood,2.01624,0.09639,0.60457,0.9789,0.98035,0.00929
wood,2.94662,0.07215,0.52835,0.98733,1.25054,0.00521
wood,2.63389,0.07667,0.55409,0.98604,1.15469,0.00588
wood,2.16647,0.10687,0.59952,0.96984,1.0088,0.01142
wood,1.72856,0.1177,0.62872,0.9758,0.89652,0.01385
wood,2.32358,0.09461,0.58535,0.98029,1.05568,0.00895
wood,2.62254,0.08423,0.57172,0.98528,1.12152,0.00709
wood,3.96131,0.0664,0.48189,0.98395,1.46841,0.00441
wood,2.8517,0.07767,0.54578,0.9823,1.19964,0.00603
wood,1.49891,0.15137,0.66244,0.94245,0.80365,0.02291
wood,2.24254,0.10666,0.58605,0.95994,1.0447,0.01138
wood,2.2431,0.11611,0.59135,0.95076,1.03373,0.01348
wood,2.29704,0.10714,0.585,0.96475,1.05431,0.01148
wood,2.46717,0.11261,0.58236,0.95036,1.07824,0.01268
wood,2.91053,0.0911,0.53336,0.96183,1.2307,0.0083
wood,2.26827,0.10192,0.58225,0.96589,1.05431,0.01039
wood,2.69217,0.10553,0.54962,0.95152,1.17168,0.01114
wood,2.40709,0.10814,0.57442,0.9621,1.085,0.01169
wood,3.18668,0.09184,0.53115,0.95739,1.26691,0.00843
concrete,7.34999,0.077,0.41431,0.92029,1.94656,0.00593
concrete,8.35061,0.07361,0.39832,0.90209,2.08699,0.00542
concrete,12.50611,0.07456,0.34153,0.84262,2.56054,0.00556
concrete,12.44789,0.06582,0.34069,0.85645,2.57735,0.00433
concrete,11.0465,0.07496,0.3841,0.85504,2.33623,0.00562
concrete,12.37572,0.07898,0.36792,0.81336,2.47616,0.00624
concrete,19.46388,0.0609,0.28687,0.79513,3.26189,0.00371
concrete,30.75473,0.04904,0.22171,0.74325,4.22376,0.00241
concrete,20.9863,0.06539,0.28778,0.72958,3.31887,0.00428
concrete,17.7298,0.07002,0.30327,0.73971,3.05065,0.0049
concrete,3.29041,0.09942,0.56748,0.95344,1.20522,0.00988
